Subject,INS_2,INS_5,INS_20,OMS_2,OMS_5,OMS_20,PAV,EXT
TEST,#0036FF,#F81607,#E7D714,#951BFA,#FF8300,#A8A8A8,#A4f778,#694100
Durrell,#0036FF,#F81607,#E7D714,#951BFA,#FF8300,#A8A8A8,#A4f778,#694100
Peach,#0036FF,#F81607,#E7D714,#951BFA,#FF8300,#A8A8A8,#A4f778,#694100
Hendrix,#0036FF,#F81607,#E7D714,#951BFA,#FF8300,#A8A8A8,#A4f778,#694100
Joplin,#694100,#0036FF,#F81607,#E7D714,#951BFA,#FF8300,#A8A8A8,#A4f778
Wenchang,#694100,#0036FF,#F81607,#E7D714,#951BFA,#FF8300,#A8A8A8,#A4f778
Herriot,#694100,#0036FF,#F81607,#E7D714,#951BFA,#FF8300,#A8A8A8,#A4f778
Kurt,#A4f778,#694100,#0036FF,#F81607,#E7D714,#951BFA,#FF8300,#A8A8A8
Luigi,#A4f778,#694100,#0036FF,#F81607,#E7D714,#951BFA,#FF8300,#A8A8A8
Sting,#A4f778,#694100,#0036FF,#F81607,#E7D714,#951BFA,#FF8300,#A8A8A8
Wario,#A8A8A8,#A4f778,#694100,#0036FF,#F81607,#E7D714,#951BFA,#FF8300
Mario,#A8A8A8,#A4f778,#694100,#0036FF,#F81607,#E7D714,#951BFA,#FF8300
Evaristo,#A8A8A8,#A4f778,#694100,#0036FF,#F81607,#E7D714,#951BFA,#FF8300
